R-Acetonitrile,Br-Acetonitrile - TW,Re-Acetone-HD,Br-Acetone-TW,Re-Ethyl Acetate-HD,Br-Ethyl Acetate-TW,Re-Chloroform-HD,Re-Methanol - HD,Br-Methanol-TW,Re-ethanol-HD,Br-Ethanol-TW,Re-IPROH-HD,Br-IPROH-TW,
0.813,0.215,1.204,0.223,1.628,0.018,0.32,0.139,0.41,0.218,0.536,0.351,0.441,400
0.804,0.21,1.176,0.22,1.617,0.018,0.305,0.133,0.406,0.21,0.535,0.341,0.443,400.5
0.796,0.204,1.142,0.216,1.596,0.018,0.289,0.127,0.4,0.201,0.533,0.33,0.445,401
0.788,0.198,1.109,0.211,1.569,0.018,0.274,0.122,0.395,0.192,0.531,0.319,0.445,401.5
0.781,0.191,1.077,0.206,1.534,0.018,0.26,0.116,0.388,0.184,0.528,0.309,0.446,402
0.774,0.185,1.045,0.202,1.495,0.018,0.247,0.111,0.382,0.176,0.524,0.299,0.446,402.5
0.768,0.179,1.014,0.197,1.456,0.017,0.234,0.106,0.375,0.168,0.52,0.289,0.445,403
0.761,0.173,0.984,0.191,1.404,0.017,0.223,0.102,0.367,0.161,0.515,0.278,0.444,403.5
0.755,0.167,0.954,0.186,1.353,0.017,0.212,0.097,0.359,0.153,0.51,0.268,0.442,404
0.749,0.16,0.925,0.18,1.294,0.017,0.202,0.093,0.351,0.146,0.504,0.258,0.44,404.5
0.743,0.153,0.898,0.175,1.233,0.017,0.193,0.089,0.342,0.139,0.497,0.248,0.438,405
0.737,0.147,0.872,0.169,1.173,0.016,0.185,0.085,0.334,0.133,0.49,0.239,0.434,405.5
0.731,0.141,0.849,0.163,1.108,0.016,0.178,0.082,0.324,0.127,0.482,0.229,0.43,406
0.725,0.134,0.826,0.157,1.044,0.016,0.171,0.078,0.315,0.121,0.474,0.22,0.426,406.5
0.718,0.128,0.805,0.151,0.981,0.016,0.165,0.075,0.305,0.115,0.464,0.211,0.421,407
0.71,0.122,0.786,0.145,0.92,0.015,0.16,0.072,0.295,0.11,0.455,0.202,0.416,407.5
0.702,0.116,0.768,0.14,0.864,0.015,0.155,0.07,0.286,0.106,0.446,0.194,0.41,408
0.692,0.111,0.752,0.134,0.807,0.015,0.15,0.068,0.275,0.101,0.435,0.186,0.404,408.5
0.682,0.105,0.737,0.128,0.756,0.015,0.147,0.066,0.265,0.097,0.425,0.179,0.397,409
0.671,0.1,0.723,0.123,0.707,0.014,0.143,0.063,0.255,0.092,0.414,0.171,0.39,409.5
0.66,0.095,0.71,0.117,0.665,0.014,0.14,0.062,0.245,0.089,0.403,0.164,0.383,410
0.648,0.09,0.698,0.113,0.625,0.014,0.137,0.06,0.236,0.085,0.392,0.157,0.375,410.5
0.635,0.086,0.686,0.107,0.588,0.014,0.134,0.059,0.225,0.082,0.38,0.151,0.367,411
0.62,0.081,0.675,0.102,0.555,0.014,0.132,0.057,0.215,0.079,0.368,0.144,0.358,411.5
0.605,0.077,0.664,0.097,0.525,0.013,0.13,0.056,0.205,0.076,0.355,0.138,0.349,412
0.589,0.073,0.653,0.093,0.498,0.013,0.128,0.055,0.195,0.073,0.343,0.132,0.339,412.5
0.572,0.069,0.643,0.088,0.475,0.013,0.126,0.054,0.185,0.071,0.33,0.127,0.33,413
0.555,0.066,0.632,0.084,0.456,0.013,0.124,0.053,0.176,0.068,0.318,0.122,0.32,413.5
0.536,0.062,0.621,0.08,0.439,0.013,0.122,0.052,0.167,0.066,0.305,0.117,0.31,414
0.518,0.059,0.611,0.076,0.424,0.013,0.121,0.052,0.158,0.064,0.293,0.112,0.299,414.5
0.498,0.056,0.6,0.072,0.411,0.013,0.119,0.051,0.149,0.062,0.28,0.107,0.289,415
0.478,0.053,0.589,0.068,0.4,0.013,0.118,0.051,0.14,0.061,0.268,0.103,0.278,415.5
0.458,0.051,0.578,0.065,0.39,0.013,0.116,0.051,0.132,0.059,0.256,0.099,0.268,416
0.438,0.048,0.567,0.062,0.382,0.013,0.115,0.051,0.124,0.058,0.244,0.096,0.257,416.5
0.419,0.046,0.556,0.059,0.375,0.013,0.114,0.051,0.116,0.058,0.233,0.093,0.247,417
0.399,0.044,0.544,0.056,0.369,0.012,0.112,0.051,0.109,0.057,0.222,0.089,0.237,417.5
0.38,0.042,0.532,0.054,0.364,0.012,0.111,0.051,0.103,0.056,0.211,0.087,0.226,418
0.361,0.041,0.52,0.051,0.359,0.012,0.11,0.051,0.096,0.055,0.2,0.084,0.216,418.5
0.342,0.039,0.508,0.049,0.355,0.012,0.109,0.051,0.09,0.055,0.19,0.081,0.206,419
0.323,0.038,0.494,0.047,0.35,0.012,0.107,0.052,0.083,0.054,0.18,0.079,0.196,419.5
0.305,0.037,0.481,0.045,0.347,0.012,0.106,0.052,0.078,0.054,0.171,0.077,0.187,420
0.288,0.036,0.467,0.043,0.343,0.012,0.105,0.052,0.073,0.054,0.162,0.075,0.178,420.5
0.271,0.034,0.454,0.042,0.34,0.011,0.103,0.053,0.068,0.054,0.154,0.073,0.169,421
0.256,0.034,0.44,0.04,0.337,0.011,0.102,0.054,0.063,0.054,0.146,0.072,0.16,421.5
0.241,0.033,0.426,0.039,0.334,0.011,0.101,0.055,0.059,0.054,0.138,0.071,0.152,422
0.227,0.032,0.412,0.037,0.331,0.011,0.1,0.055,0.055,0.055,0.131,0.07,0.144,422.5
0.214,0.032,0.398,0.036,0.328,0.011,0.098,0.056,0.051,0.055,0.125,0.069,0.137,423
0.201,0.031,0.384,0.035,0.324,0.011,0.097,0.057,0.047,0.056,0.119,0.068,0.13,423.5
0.19,0.031,0.37,0.034,0.321,0.011,0.095,0.057,0.044,0.056,0.113,0.067,0.123,424
0.179,0.031,0.357,0.033,0.318,0.011,0.094,0.058,0.041,0.057,0.108,0.067,0.117,424.5
0.169,0.031,0.342,0.032,0.315,0.011,0.093,0.06,0.039,0.058,0.103,0.067,0.111,425
0.159,0.031,0.329,0.032,0.311,0.01,0.092,0.06,0.036,0.059,0.099,0.067,0.106,425.5
0.15,0.031,0.316,0.031,0.308,0.01,0.09,0.061,0.034,0.059,0.094,0.067,0.101,426
0.142,0.031,0.304,0.031,0.305,0.01,0.089,0.062,0.031,0.06,0.091,0.067,0.096,426.5
0.135,0.031,0.291,0.03,0.301,0.01,0.088,0.063,0.029,0.061,0.088,0.067,0.092,427
0.128,0.031,0.28,0.03,0.298,0.01,0.086,0.064,0.028,0.062,0.085,0.068,0.088,427.5
0.122,0.032,0.268,0.03,0.294,0.01,0.085,0.065,0.026,0.063,0.083,0.068,0.085,428
0.116,0.032,0.257,0.03,0.29,0.01,0.084,0.066,0.025,0.064,0.08,0.069,0.082,428.5
0.11,0.032,0.246,0.03,0.286,0.01,0.083,0.067,0.023,0.066,0.079,0.07,0.08,429
0.105,0.033,0.235,0.03,0.282,0.01,0.081,0.068,0.022,0.067,0.077,0.071,0.077,429.5
0.101,0.034,0.225,0.029,0.279,0.01,0.08,0.069,0.021,0.068,0.075,0.072,0.076,430
0.097,0.034,0.216,0.029,0.275,0.01,0.079,0.07,0.02,0.07,0.074,0.073,0.074,430.5
0.093,0.035,0.207,0.029,0.271,0.01,0.077,0.072,0.019,0.071,0.074,0.075,0.073,431
0.09,0.036,0.198,0.03,0.266,0.01,0.076,0.072,0.018,0.073,0.073,0.076,0.072,431.5
0.087,0.037,0.19,0.03,0.262,0.009,0.075,0.074,0.018,0.074,0.073,0.077,0.072,432
0.084,0.037,0.182,0.03,0.258,0.009,0.073,0.075,0.017,0.076,0.072,0.079,0.072,432.5
0.082,0.038,0.175,0.03,0.254,0.009,0.072,0.076,0.017,0.077,0.072,0.081,0.071,433
0.08,0.039,0.168,0.03,0.25,0.009,0.071,0.077,0.016,0.079,0.073,0.083,0.072,433.5
0.078,0.04,0.161,0.031,0.246,0.009,0.069,0.078,0.016,0.081,0.073,0.084,0.072,434
0.077,0.041,0.155,0.031,0.242,0.009,0.068,0.079,0.015,0.082,0.073,0.086,0.073,434.5
0.076,0.042,0.149,0.031,0.237,0.009,0.067,0.08,0.015,0.084,0.074,0.088,0.074,435
0.075,0.044,0.143,0.032,0.233,0.009,0.066,0.081,0.015,0.085,0.075,0.09,0.075,435.5
0.074,0.045,0.138,0.033,0.229,0.009,0.064,0.082,0.015,0.087,0.075,0.093,0.077,436
0.073,0.046,0.133,0.033,0.225,0.009,0.063,0.083,0.014,0.089,0.076,0.095,0.078,436.5
0.073,0.048,0.128,0.034,0.221,0.009,0.062,0.084,0.014,0.091,0.077,0.097,0.08,437
0.073,0.049,0.124,0.034,0.217,0.009,0.061,0.086,0.014,0.092,0.078,0.1,0.082,437.5
0.072,0.051,0.119,0.035,0.213,0.009,0.059,0.087,0.014,0.094,0.079,0.103,0.084,438
0.073,0.053,0.116,0.036,0.209,0.009,0.058,0.088,0.014,0.096,0.081,0.106,0.087,438.5
0.073,0.055,0.112,0.037,0.205,0.009,0.057,0.089,0.013,0.098,0.082,0.108,0.089,439
0.073,0.057,0.109,0.038,0.2,0.009,0.056,0.09,0.013,0.1,0.083,0.111,0.092,439.5
0.073,0.058,0.105,0.038,0.196,0.009,0.055,0.091,0.013,0.102,0.084,0.114,0.095,440
0.074,0.06,0.102,0.039,0.192,0.009,0.053,0.092,0.013,0.104,0.086,0.117,0.098,440.5
0.075,0.063,0.1,0.04,0.188,0.009,0.052,0.093,0.013,0.105,0.087,0.12,0.101,441
0.076,0.065,0.097,0.042,0.184,0.009,0.051,0.094,0.013,0.107,0.089,0.123,0.105,441.5
0.077,0.067,0.095,0.043,0.181,0.009,0.05,0.094,0.013,0.109,0.09,0.127,0.108,442
0.078,0.07,0.093,0.044,0.177,0.009,0.049,0.095,0.013,0.111,0.091,0.13,0.111,442.5
0.079,0.072,0.091,0.045,0.173,0.009,0.048,0.096,0.013,0.113,0.093,0.133,0.115,443
0.081,0.075,0.089,0.046,0.169,0.009,0.047,0.097,0.013,0.115,0.094,0.137,0.119,443.5
0.082,0.078,0.088,0.048,0.166,0.009,0.046,0.098,0.013,0.117,0.095,0.14,0.123,444
0.083,0.081,0.087,0.049,0.162,0.009,0.045,0.099,0.012,0.119,0.097,0.144,0.127,444.5
0.085,0.084,0.085,0.051,0.158,0.009,0.044,0.1,0.012,0.121,0.098,0.148,0.131,445
0.087,0.088,0.084,0.053,0.154,0.009,0.044,0.1,0.012,0.123,0.1,0.151,0.135,445.5
0.089,0.091,0.084,0.054,0.151,0.009,0.043,0.101,0.012,0.125,0.101,0.155,0.14,446
0.091,0.095,0.083,0.056,0.147,0.009,0.042,0.102,0.012,0.127,0.103,0.159,0.144,446.5
0.093,0.098,0.083,0.058,0.144,0.009,0.041,0.102,0.012,0.129,0.104,0.163,0.149,447
0.095,0.102,0.082,0.06,0.14,0.009,0.041,0.103,0.012,0.131,0.105,0.167,0.154,447.5
0.097,0.107,0.082,0.062,0.137,0.009,0.04,0.104,0.012,0.133,0.107,0.171,0.159,448
0.1,0.111,0.082,0.064,0.133,0.009,0.039,0.104,0.012,0.135,0.108,0.175,0.164,448.5
0.102,0.115,0.082,0.067,0.13,0.009,0.039,0.105,0.012,0.137,0.109,0.179,0.169,449
0.104,0.12,0.083,0.069,0.127,0.009,0.038,0.106,0.012,0.138,0.11,0.183,0.174,449.5
0.107,0.125,0.083,0.072,0.123,0.009,0.038,0.106,0.012,0.14,0.111,0.187,0.18,450
0.109,0.13,0.083,0.074,0.12,0.009,0.038,0.107,0.011,0.142,0.112,0.191,0.185,450.5
0.112,0.135,0.084,0.077,0.117,0.009,0.037,0.107,0.011,0.144,0.113,0.196,0.191,451
0.115,0.141,0.085,0.08,0.114,0.01,0.037,0.108,0.011,0.146,0.114,0.2,0.197,451.5
0.118,0.146,0.085,0.083,0.111,0.009,0.036,0.108,0.011,0.148,0.115,0.205,0.202,452
0.12,0.153,0.086,0.086,0.108,0.01,0.036,0.108,0.011,0.15,0.115,0.209,0.208,452.5
0.123,0.159,0.087,0.09,0.105,0.01,0.036,0.108,0.01,0.151,0.116,0.214,0.214,453
0.127,0.166,0.089,0.093,0.103,0.01,0.036,0.109,0.01,0.153,0.117,0.218,0.221,453.5
0.13,0.173,0.09,0.097,0.1,0.01,0.036,0.109,0.01,0.155,0.117,0.223,0.227,454
0.133,0.18,0.091,0.101,0.097,0.01,0.035,0.109,0.01,0.157,0.118,0.227,0.233,454.5
0.136,0.187,0.093,0.106,0.095,0.01,0.036,0.11,0.01,0.158,0.118,0.232,0.24,455
0.139,0.195,0.095,0.11,0.092,0.01,0.036,0.11,0.01,0.16,0.118,0.237,0.246,455.5
0.143,0.203,0.096,0.114,0.09,0.01,0.036,0.11,0.009,0.162,0.118,0.242,0.253,456
0.146,0.211,0.098,0.119,0.088,0.01,0.035,0.11,0.009,0.163,0.118,0.247,0.259,456.5
0.149,0.22,0.1,0.124,0.085,0.01,0.035,0.11,0.009,0.165,0.118,0.252,0.266,457
0.153,0.229,0.102,0.129,0.083,0.011,0.036,0.11,0.009,0.166,0.118,0.257,0.273,457.5
0.157,0.237,0.104,0.134,0.081,0.011,0.036,0.11,0.009,0.168,0.118,0.261,0.279,458
0.16,0.247,0.106,0.14,0.079,0.011,0.036,0.11,0.008,0.169,0.118,0.266,0.286,458.5
0.164,0.256,0.108,0.145,0.078,0.011,0.036,0.11,0.008,0.171,0.117,0.271,0.293,459
0.168,0.266,0.11,0.151,0.076,0.011,0.037,0.11,0.008,0.172,0.117,0.276,0.299,459.5
0.171,0.276,0.113,0.157,0.074,0.012,0.037,0.109,0.008,0.173,0.116,0.281,0.306,460
0.175,0.286,0.115,0.163,0.072,0.012,0.037,0.109,0.007,0.175,0.116,0.286,0.312,460.5
0.179,0.297,0.118,0.169,0.071,0.012,0.038,0.109,0.007,0.176,0.115,0.291,0.319,461
0.183,0.308,0.12,0.175,0.07,0.012,0.038,0.108,0.007,0.177,0.114,0.296,0.325,461.5
0.187,0.319,0.123,0.182,0.068,0.012,0.038,0.108,0.007,0.179,0.113,0.302,0.332,462
0.191,0.331,0.126,0.189,0.067,0.013,0.039,0.108,0.007,0.18,0.112,0.307,0.338,462.5
0.196,0.344,0.129,0.195,0.066,0.013,0.039,0.108,0.006,0.181,0.111,0.312,0.344,463
0.2,0.356,0.132,0.202,0.065,0.013,0.04,0.107,0.006,0.182,0.11,0.317,0.351,463.5
0.204,0.369,0.135,0.209,0.064,0.013,0.041,0.107,0.006,0.183,0.109,0.323,0.357,464
0.208,0.382,0.138,0.217,0.063,0.013,0.041,0.106,0.006,0.184,0.108,0.328,0.362,464.5
0.213,0.395,0.142,0.224,0.062,0.013,0.042,0.106,0.006,0.185,0.106,0.333,0.368,465
0.217,0.409,0.145,0.232,0.062,0.013,0.042,0.105,0.006,0.186,0.105,0.338,0.373,465.5
0.221,0.422,0.148,0.24,0.061,0.013,0.043,0.105,0.005,0.187,0.104,0.343,0.378,466
0.226,0.436,0.152,0.248,0.061,0.013,0.044,0.104,0.005,0.188,0.102,0.348,0.383,466.5
0.23,0.45,0.155,0.256,0.06,0.013,0.044,0.103,0.005,0.188,0.101,0.353,0.388,467
0.235,0.465,0.158,0.264,0.06,0.013,0.045,0.103,0.005,0.189,0.099,0.358,0.392,467.5
0.239,0.479,0.162,0.273,0.06,0.013,0.046,0.102,0.004,0.19,0.098,0.363,0.396,468
0.244,0.494,0.166,0.283,0.06,0.014,0.047,0.102,0.004,0.191,0.096,0.368,0.4,468.5
0.249,0.509,0.17,0.293,0.06,0.014,0.048,0.101,0.004,0.191,0.094,0.374,0.404,469
0.253,0.524,0.174,0.303,0.06,0.014,0.049,0.1,0.004,0.192,0.092,0.379,0.407,469.5
0.258,0.54,0.178,0.313,0.06,0.014,0.05,0.099,0.004,0.192,0.09,0.384,0.41,470
0.262,0.555,0.181,0.324,0.06,0.014,0.051,0.098,0.004,0.193,0.088,0.389,0.412,470.5
0.267,0.571,0.185,0.335,0.06,0.014,0.052,0.098,0.003,0.193,0.087,0.394,0.415,471
0.272,0.586,0.189,0.347,0.061,0.014,0.053,0.097,0.003,0.194,0.085,0.399,0.416,471.5
0.277,0.602,0.193,0.359,0.061,0.014,0.054,0.096,0.003,0.194,0.083,0.403,0.418,472
0.281,0.617,0.198,0.371,0.061,0.015,0.055,0.095,0.003,0.194,0.081,0.408,0.419,472.5
0.286,0.632,0.202,0.384,0.062,0.015,0.056,0.094,0.003,0.195,0.079,0.413,0.42,473
0.291,0.647,0.206,0.396,0.063,0.015,0.058,0.093,0.003,0.195,0.077,0.418,0.42,473.5
0.296,0.662,0.211,0.409,0.064,0.015,0.059,0.092,0.003,0.195,0.075,0.423,0.42,474
0.301,0.676,0.215,0.422,0.064,0.016,0.06,0.091,0.002,0.195,0.073,0.427,0.42,474.5
0.306,0.691,0.22,0.436,0.065,0.016,0.062,0.09,0.002,0.195,0.071,0.432,0.419,475
0.31,0.704,0.224,0.449,0.066,0.017,0.063,0.089,0.002,0.195,0.069,0.436,0.418,475.5
0.315,0.717,0.229,0.462,0.067,0.017,0.065,0.088,0.002,0.195,0.067,0.441,0.416,476
0.32,0.73,0.233,0.475,0.068,0.017,0.066,0.087,0.002,0.195,0.065,0.445,0.414,476.5
0.325,0.742,0.238,0.488,0.069,0.018,0.067,0.086,0.002,0.195,0.063,0.449,0.412,477
0.33,0.753,0.243,0.5,0.07,0.019,0.069,0.085,0.002,0.195,0.061,0.453,0.409,477.5
0.335,0.764,0.247,0.512,0.072,0.019,0.07,0.084,0.001,0.194,0.059,0.458,0.406,478
0.34,0.774,0.252,0.524,0.073,0.02,0.072,0.083,0.001,0.194,0.057,0.462,0.402,478.5
0.345,0.784,0.257,0.535,0.075,0.02,0.074,0.082,0.001,0.194,0.055,0.466,0.399,479
0.349,0.792,0.262,0.546,0.076,0.021,0.075,0.081,0.001,0.193,0.053,0.47,0.394,479.5
0.355,0.801,0.267,0.556,0.078,0.021,0.077,0.08,0.001,0.193,0.052,0.474,0.389,480
0.36,0.808,0.272,0.565,0.079,0.022,0.078,0.079,0.001,0.192,0.05,0.478,0.385,480.5
0.364,0.815,0.278,0.574,0.081,0.022,0.08,0.078,0.001,0.192,0.048,0.481,0.379,481
0.369,0.82,0.283,0.582,0.083,0.022,0.082,0.076,0.001,0.191,0.046,0.485,0.373,481.5
0.374,0.825,0.288,0.589,0.084,0.022,0.084,0.075,0.001,0.19,0.044,0.488,0.368,482
0.379,0.829,0.294,0.596,0.086,0.023,0.086,0.074,0.001,0.19,0.043,0.492,0.361,482.5
0.383,0.832,0.299,0.602,0.088,0.023,0.087,0.073,0.001,0.189,0.041,0.495,0.355,483
0.388,0.835,0.304,0.608,0.09,0.023,0.089,0.072,0.001,0.188,0.039,0.498,0.348,483.5
0.393,0.836,0.31,0.613,0.092,0.023,0.091,0.071,0.001,0.187,0.038,0.501,0.34,484
0.397,0.837,0.315,0.617,0.095,0.023,0.093,0.069,0.001,0.186,0.036,0.505,0.333,484.5
0.402,0.837,0.321,0.621,0.097,0.023,0.095,0.068,0,0.185,0.035,0.507,0.325,485
0.407,0.837,0.326,0.625,0.099,0.023,0.097,0.067,0,0.185,0.033,0.51,0.318,485.5
0.411,0.835,0.331,0.629,0.101,0.022,0.099,0.066,0,0.183,0.032,0.513,0.309,486
0.416,0.833,0.337,0.632,0.104,0.022,0.101,0.065,0,0.182,0.03,0.515,0.301,486.5
0.421,0.83,0.343,0.635,0.106,0.022,0.103,0.064,0,0.181,0.029,0.518,0.292,487
0.425,0.827,0.348,0.638,0.109,0.022,0.105,0.063,0,0.18,0.027,0.52,0.283,487.5
0.43,0.822,0.354,0.641,0.111,0.021,0.108,0.061,0,0.178,0.026,0.522,0.273,488
0.434,0.817,0.36,0.643,0.114,0.021,0.11,0.06,0,0.177,0.025,0.524,0.264,488.5
0.438,0.811,0.366,0.646,0.117,0.02,0.112,0.059,0,0.176,0.024,0.526,0.255,489
0.443,0.805,0.372,0.649,0.12,0.02,0.114,0.058,0,0.174,0.022,0.528,0.246,489.5
0.447,0.797,0.377,0.652,0.122,0.02,0.117,0.057,0,0.173,0.021,0.53,0.236,490
0.451,0.789,0.383,0.655,0.125,0.019,0.119,0.056,0,0.171,0.02,0.532,0.227,490.5
0.455,0.78,0.389,0.657,0.128,0.019,0.121,0.054,0,0.17,0.019,0.533,0.218,491
0.459,0.77,0.395,0.66,0.131,0.019,0.123,0.053,0,0.168,0.018,0.534,0.208,491.5
0.463,0.759,0.401,0.663,0.134,0.018,0.126,0.052,0,0.167,0.017,0.536,0.199,492
0.467,0.748,0.407,0.666,0.137,0.018,0.128,0.051,0,0.165,0.016,0.537,0.19,492.5
0.471,0.735,0.413,0.668,0.141,0.018,0.13,0.05,0,0.163,0.015,0.538,0.181,493
0.475,0.722,0.419,0.67,0.144,0.018,0.133,0.049,0,0.162,0.015,0.538,0.171,493.5
0.478,0.708,0.425,0.672,0.148,0.018,0.136,0.048,0,0.16,0.014,0.539,0.163,494
0.482,0.693,0.431,0.673,0.151,0.019,0.138,0.047,0,0.158,0.013,0.539,0.154,494.5
0.486,0.677,0.437,0.674,0.154,0.019,0.141,0.045,0,0.156,0.012,0.54,0.145,495
0.489,0.661,0.443,0.674,0.158,0.019,0.143,0.044,0,0.155,0.012,0.54,0.137,495.5
0.492,0.643,0.449,0.673,0.161,0.019,0.146,0.043,0,0.153,0.011,0.54,0.129,496
0.496,0.624,0.455,0.671,0.165,0.02,0.148,0.042,0,0.151,0.01,0.54,0.121,496.5
0.499,0.605,0.46,0.667,0.169,0.02,0.151,0.041,0,0.149,0.01,0.54,0.113,497
0.502,0.586,0.466,0.663,0.173,0.021,0.154,0.04,0,0.147,0.01,0.539,0.106,497.5
0.505,0.565,0.472,0.658,0.177,0.021,0.157,0.039,0,0.145,0.009,0.539,0.098,498
