R-Acetonitrile,Br-Acetonitrile - TW,Re-Acetone-HD,Br-Acetone-TW,Re-Ethyl Acetate-HD,Br-Ethyl Acetate-TW,Re-Chloroform-HD,Re-Methanol - HD,Br-Methanol-TW,Re-ethanol-HD,Br-Ethanol-TW,Re-IPROH-HD,Br-IPROH-TW,
0.508,0.544,0.479,0.651,0.181,0.022,0.159,0.038,0,0.143,0.008,0.538,0.092,498.5
0.511,0.522,0.484,0.642,0.185,0.023,0.162,0.037,0,0.141,0.008,0.537,0.085,499
0.514,0.5,0.49,0.633,0.189,0.023,0.165,0.036,0,0.139,0.008,0.536,0.079,499.5
0.516,0.478,0.496,0.621,0.193,0.024,0.167,0.036,0,0.137,0.007,0.535,0.073,500
0.519,0.455,0.502,0.608,0.197,0.025,0.17,0.035,0,0.135,0.007,0.534,0.067,500.5
0.521,0.432,0.508,0.594,0.201,0.025,0.173,0.034,0,0.133,0.006,0.533,0.061,501
0.523,0.41,0.514,0.578,0.206,0.026,0.176,0.033,0,0.131,0.006,0.531,0.056,501.5
0.526,0.387,0.519,0.561,0.21,0.027,0.179,0.032,0,0.129,0.006,0.53,0.052,502
0.528,0.364,0.525,0.542,0.215,0.027,0.182,0.031,0,0.127,0.006,0.528,0.047,502.5
0.53,0.342,0.531,0.522,0.219,0.028,0.185,0.03,0,0.125,0.006,0.526,0.043,503
0.532,0.32,0.537,0.5,0.224,0.028,0.188,0.029,0,0.123,0.005,0.524,0.039,503.5
0.533,0.297,0.543,0.477,0.229,0.028,0.191,0.029,0,0.121,0.005,0.522,0.035,504
0.535,0.276,0.548,0.454,0.233,0.028,0.194,0.028,0,0.119,0.005,0.519,0.031,504.5
0.537,0.256,0.554,0.43,0.238,0.028,0.197,0.027,0,0.117,0.005,0.517,0.028,505
0.538,0.236,0.56,0.405,0.243,0.028,0.199,0.026,0,0.114,0.004,0.514,0.025,505.5
0.539,0.217,0.565,0.381,0.248,0.028,0.202,0.025,0,0.113,0.004,0.511,0.023,506
0.541,0.2,0.571,0.357,0.253,0.027,0.205,0.025,0,0.111,0.004,0.509,0.02,506.5
0.542,0.182,0.576,0.332,0.258,0.027,0.208,0.024,0,0.108,0.004,0.505,0.018,507
0.543,0.166,0.582,0.307,0.263,0.026,0.211,0.023,0,0.106,0.004,0.502,0.016,507.5
0.544,0.151,0.587,0.284,0.268,0.025,0.214,0.023,0,0.104,0.004,0.499,0.014,508
0.544,0.137,0.593,0.261,0.273,0.024,0.217,0.022,-0.001,0.102,0.004,0.496,0.013,508.5
0.545,0.123,0.598,0.238,0.279,0.023,0.22,0.021,-0.001,0.1,0.004,0.492,0.011,509
0.545,0.112,0.603,0.218,0.284,0.021,0.223,0.021,-0.001,0.098,0.004,0.489,0.01,509.5
0.546,0.101,0.608,0.198,0.289,0.02,0.226,0.02,0,0.096,0.004,0.485,0.008,510
0.546,0.09,0.613,0.179,0.295,0.019,0.23,0.019,0,0.094,0.004,0.481,0.007,510.5
0.546,0.081,0.619,0.161,0.3,0.018,0.233,0.019,0,0.092,0.004,0.477,0.006,511
0.546,0.072,0.624,0.145,0.306,0.016,0.236,0.018,0,0.09,0.003,0.473,0.005,511.5
0.546,0.064,0.629,0.13,0.312,0.015,0.239,0.018,0,0.088,0.003,0.468,0.004,512
0.546,0.057,0.634,0.116,0.318,0.014,0.242,0.017,0,0.086,0.003,0.464,0.004,512.5
0.545,0.051,0.638,0.103,0.324,0.013,0.245,0.016,0,0.085,0.003,0.46,0.003,513
0.545,0.046,0.643,0.092,0.329,0.012,0.248,0.016,0,0.083,0.003,0.455,0.002,513.5
0.544,0.041,0.647,0.082,0.335,0.011,0.251,0.015,0,0.081,0.003,0.45,0.002,514
0.544,0.037,0.652,0.073,0.341,0.01,0.254,0.015,0,0.079,0.003,0.446,0.001,514.5
0.543,0.033,0.656,0.066,0.347,0.009,0.257,0.014,-0.001,0.077,0.003,0.441,0.001,515
0.542,0.03,0.661,0.058,0.353,0.008,0.26,0.014,-0.001,0.075,0.003,0.436,0.001,515.5
0.541,0.027,0.665,0.052,0.36,0.008,0.263,0.013,0,0.074,0.003,0.431,0,516
0.539,0.024,0.669,0.046,0.366,0.007,0.267,0.013,0,0.072,0.003,0.426,0,516.5
0.538,0.022,0.673,0.041,0.372,0.007,0.27,0.012,0,0.07,0.003,0.421,0,517
0.537,0.02,0.677,0.037,0.379,0.006,0.272,0.012,-0.001,0.068,0.003,0.416,0,517.5
0.535,0.018,0.681,0.033,0.385,0.005,0.276,0.012,-0.001,0.067,0.003,0.41,-0.001,518
0.533,0.016,0.685,0.03,0.391,0.005,0.278,0.011,-0.001,0.065,0.003,0.405,-0.001,518.5
0.532,0.015,0.688,0.027,0.398,0.005,0.282,0.011,-0.001,0.063,0.003,0.4,-0.001,519
0.53,0.014,0.692,0.024,0.404,0.004,0.284,0.01,-0.001,0.062,0.003,0.395,-0.001,519.5
0.528,0.013,0.695,0.022,0.411,0.004,0.287,0.01,-0.001,0.06,0.002,0.389,-0.001,520
0.526,0.012,0.699,0.02,0.418,0.004,0.29,0.01,-0.001,0.058,0.003,0.384,-0.001,520.5
0.523,0.011,0.702,0.018,0.424,0.004,0.293,0.009,-0.001,0.057,0.002,0.378,-0.002,521
0.521,0.01,0.705,0.016,0.431,0.004,0.296,0.009,-0.001,0.055,0.002,0.373,-0.002,521.5
0.519,0.01,0.708,0.015,0.438,0.003,0.299,0.009,-0.001,0.054,0.002,0.367,-0.002,522
0.516,0.009,0.711,0.014,0.445,0.003,0.302,0.008,-0.001,0.052,0.002,0.362,-0.002,522.5
0.514,0.008,0.714,0.013,0.452,0.003,0.305,0.008,0,0.051,0.003,0.357,-0.002,523
0.511,0.008,0.716,0.012,0.459,0.003,0.308,0.008,0,0.05,0.003,0.351,-0.002,523.5
0.508,0.008,0.719,0.011,0.466,0.003,0.31,0.008,0,0.048,0.003,0.346,-0.002,524
0.505,0.007,0.722,0.01,0.473,0.003,0.313,0.007,0,0.047,0.003,0.34,-0.002,524.5
0.502,0.007,0.724,0.009,0.48,0.003,0.316,0.007,0,0.046,0.003,0.334,-0.002,525
0.499,0.007,0.726,0.009,0.487,0.003,0.319,0.007,0,0.044,0.003,0.329,-0.002,525.5
0.496,0.006,0.728,0.009,0.494,0.003,0.321,0.007,0,0.043,0.003,0.323,-0.003,526
0.492,0.006,0.73,0.008,0.501,0.003,0.324,0.007,0,0.042,0.003,0.318,-0.003,526.5
0.489,0.006,0.732,0.008,0.509,0.003,0.327,0.006,0,0.041,0.003,0.312,-0.003,527
0.485,0.006,0.733,0.007,0.516,0.003,0.329,0.006,0,0.04,0.002,0.306,-0.003,527.5
0.482,0.005,0.735,0.007,0.523,0.003,0.332,0.006,0,0.038,0.002,0.301,-0.003,528
0.478,0.005,0.737,0.007,0.531,0.003,0.334,0.005,0,0.037,0.002,0.295,-0.003,528.5
0.474,0.005,0.738,0.006,0.538,0.003,0.337,0.005,0,0.036,0.002,0.289,-0.003,529
0.47,0.005,0.739,0.006,0.546,0.003,0.339,0.005,0,0.035,0.002,0.284,-0.003,529.5
0.466,0.005,0.74,0.006,0.553,0.003,0.342,0.005,0,0.034,0.003,0.278,-0.003,530
0.462,0.005,0.741,0.006,0.561,0.003,0.344,0.005,0,0.033,0.002,0.273,-0.003,530.5
0.458,0.005,0.742,0.006,0.568,0.003,0.347,0.005,0,0.032,0.002,0.267,-0.003,531
0.454,0.005,0.743,0.005,0.575,0.003,0.349,0.005,0,0.031,0.002,0.262,-0.003,531.5
0.45,0.004,0.744,0.005,0.583,0.002,0.351,0.004,-0.001,0.03,0.002,0.257,-0.003,532
0.446,0.004,0.744,0.005,0.59,0.003,0.354,0.004,-0.001,0.029,0.002,0.251,-0.003,532.5
0.442,0.004,0.744,0.005,0.598,0.003,0.356,0.004,-0.001,0.028,0.002,0.246,-0.004,533
0.438,0.004,0.745,0.005,0.605,0.003,0.358,0.004,-0.001,0.027,0.002,0.241,-0.004,533.5
0.433,0.004,0.745,0.005,0.613,0.003,0.36,0.004,-0.001,0.026,0.002,0.236,-0.004,534
0.429,0.004,0.745,0.005,0.62,0.003,0.362,0.004,-0.001,0.025,0.002,0.231,-0.004,534.5
0.424,0.004,0.744,0.005,0.628,0.003,0.364,0.003,-0.001,0.025,0.002,0.225,-0.004,535
0.419,0.004,0.744,0.005,0.636,0.003,0.366,0.003,-0.001,0.024,0.002,0.22,-0.004,535.5
0.415,0.004,0.744,0.005,0.644,0.003,0.368,0.003,-0.001,0.023,0.002,0.215,-0.004,536
0.41,0.004,0.743,0.005,0.651,0.003,0.37,0.003,-0.001,0.022,0.002,0.21,-0.004,536.5
0.405,0.004,0.742,0.004,0.659,0.003,0.372,0.003,-0.001,0.021,0.002,0.205,-0.004,537
0.401,0.004,0.742,0.004,0.667,0.003,0.374,0.003,-0.001,0.021,0.002,0.201,-0.004,537.5
0.396,0.003,0.741,0.004,0.674,0.003,0.375,0.003,-0.001,0.02,0.002,0.196,-0.004,538
0.391,0.003,0.739,0.004,0.682,0.003,0.377,0.003,-0.001,0.019,0.002,0.191,-0.004,538.5
0.386,0.003,0.738,0.004,0.69,0.003,0.379,0.003,0,0.019,0.002,0.186,-0.004,539
0.382,0.003,0.737,0.004,0.697,0.003,0.38,0.002,0,0.018,0.002,0.182,-0.004,539.5
0.377,0.003,0.735,0.004,0.705,0.003,0.382,0.002,0,0.017,0.002,0.177,-0.004,540
0.372,0.003,0.733,0.004,0.712,0.003,0.383,0.002,0,0.017,0.002,0.173,-0.004,540.5
0.367,0.003,0.732,0.004,0.72,0.003,0.385,0.002,-0.001,0.016,0.002,0.169,-0.004,541
0.362,0.003,0.73,0.004,0.727,0.003,0.386,0.002,-0.001,0.016,0.002,0.164,-0.005,541.5
0.357,0.003,0.728,0.004,0.735,0.003,0.387,0.002,-0.001,0.015,0.002,0.16,-0.005,542
0.352,0.003,0.726,0.004,0.742,0.003,0.388,0.002,-0.001,0.015,0.002,0.156,-0.005,542.5
0.347,0.003,0.723,0.004,0.75,0.003,0.39,0.002,0,0.014,0.002,0.152,-0.005,543
0.342,0.003,0.721,0.004,0.757,0.003,0.391,0.002,0,0.013,0.002,0.148,-0.005,543.5
0.338,0.003,0.718,0.004,0.765,0.003,0.392,0.002,0,0.013,0.002,0.144,-0.005,544
0.332,0.003,0.716,0.004,0.772,0.003,0.393,0.002,-0.001,0.012,0.002,0.14,-0.005,544.5
0.328,0.003,0.713,0.004,0.78,0.003,0.393,0.002,-0.001,0.012,0.002,0.136,-0.005,545
0.323,0.003,0.71,0.004,0.787,0.003,0.394,0.002,-0.001,0.012,0.002,0.132,-0.005,545.5
0.318,0.002,0.707,0.004,0.794,0.003,0.395,0.001,-0.001,0.011,0.002,0.129,-0.005,546
0.313,0.002,0.704,0.004,0.801,0.003,0.395,0.001,-0.001,0.011,0.002,0.125,-0.005,546.5
0.308,0.002,0.7,0.004,0.808,0.003,0.396,0.001,-0.001,0.01,0.002,0.121,-0.005,547
0.303,0.003,0.697,0.004,0.816,0.003,0.397,0.001,0,0.01,0.002,0.118,-0.005,547.5
0.298,0.002,0.693,0.004,0.823,0.003,0.397,0.001,0,0.009,0.002,0.115,-0.005,548
0.293,0.002,0.69,0.004,0.83,0.003,0.397,0.001,-0.001,0.009,0.002,0.112,-0.005,548.5
0.289,0.002,0.686,0.004,0.837,0.003,0.397,0.001,0,0.009,0.002,0.108,-0.005,549
0.284,0.002,0.682,0.004,0.844,0.003,0.398,0.001,0,0.008,0.002,0.105,-0.005,549.5
0.279,0.002,0.678,0.004,0.851,0.003,0.398,0.001,-0.001,0.008,0.001,0.102,-0.005,550
0.274,0.002,0.674,0.004,0.857,0.003,0.398,0.001,-0.001,0.008,0.001,0.099,-0.005,550.5
0.269,0.002,0.67,0.004,0.864,0.003,0.398,0.001,-0.001,0.007,0.001,0.096,-0.005,551
0.265,0.002,0.666,0.004,0.871,0.003,0.397,0.001,-0.001,0.007,0.001,0.093,-0.005,551.5
0.26,0.002,0.661,0.004,0.878,0.003,0.397,0.001,-0.001,0.007,0.001,0.09,-0.005,552
0.255,0.002,0.656,0.003,0.885,0.003,0.397,0.001,-0.001,0.006,0.001,0.088,-0.005,552.5
0.251,0.002,0.652,0.003,0.891,0.003,0.397,0.001,-0.001,0.006,0.001,0.085,-0.005,553
0.246,0.002,0.647,0.003,0.897,0.003,0.396,0.001,-0.001,0.006,0.001,0.082,-0.006,553.5
0.242,0.002,0.643,0.003,0.903,0.003,0.396,0.001,-0.001,0.006,0.001,0.08,-0.006,554
0.237,0.002,0.638,0.003,0.909,0.003,0.395,0.001,-0.001,0.006,0.002,0.077,-0.006,554.5
0.233,0.002,0.633,0.003,0.916,0.003,0.394,0.001,-0.001,0.005,0.002,0.075,-0.006,555
0.228,0.002,0.628,0.003,0.922,0.003,0.393,0.001,-0.001,0.005,0.001,0.072,-0.006,555.5
0.224,0.002,0.623,0.003,0.927,0.003,0.392,0.001,-0.001,0.005,0.001,0.07,-0.006,556
0.22,0.002,0.618,0.003,0.933,0.003,0.392,0.001,-0.001,0.005,0.001,0.068,-0.006,556.5
0.216,0.002,0.613,0.003,0.939,0.003,0.391,0.001,-0.001,0.005,0.002,0.066,-0.006,557
0.212,0.002,0.607,0.003,0.945,0.003,0.389,0.001,-0.001,0.004,0.001,0.064,-0.006,557.5
0.207,0.002,0.602,0.003,0.95,0.003,0.388,0.001,-0.001,0.004,0.002,0.062,-0.006,558
0.203,0.001,0.596,0.003,0.956,0.004,0.387,0.001,-0.001,0.004,0.002,0.06,-0.006,558.5
0.199,0.001,0.59,0.003,0.961,0.003,0.385,0.001,-0.001,0.004,0.002,0.058,-0.006,559
0.195,0.001,0.585,0.003,0.967,0.003,0.384,0.001,-0.001,0.004,0.002,0.056,-0.006,559.5
0.191,0.001,0.579,0.003,0.972,0.003,0.383,0.001,-0.001,0.004,0.002,0.054,-0.006,560
0.187,0.001,0.573,0.003,0.977,0.003,0.381,0.001,-0.001,0.003,0.002,0.052,-0.006,560.5
0.183,0.001,0.568,0.003,0.981,0.003,0.379,0.001,-0.001,0.003,0.002,0.05,-0.006,561
0.179,0.001,0.562,0.003,0.986,0.003,0.378,0.001,-0.001,0.003,0.001,0.048,-0.006,561.5
0.175,0.001,0.556,0.003,0.991,0.004,0.376,0.001,0,0.003,0.001,0.047,-0.006,562
0.172,0.001,0.55,0.003,0.995,0.004,0.374,0.001,0,0.003,0.001,0.045,-0.006,562.5
0.168,0.001,0.544,0.003,0.999,0.004,0.372,0.001,-0.001,0.003,0.001,0.044,-0.006,563
0.165,0.001,0.538,0.003,1.004,0.004,0.37,0.001,-0.001,0.003,0.001,0.042,-0.006,563.5
0.161,0.001,0.532,0.003,1.008,0.004,0.368,0.001,-0.001,0.002,0.002,0.041,-0.006,564
0.157,0.001,0.526,0.003,1.012,0.004,0.366,0.001,-0.001,0.002,0.002,0.039,-0.006,564.5
0.154,0.001,0.52,0.003,1.015,0.004,0.364,0,-0.001,0.002,0.002,0.038,-0.006,565
0.15,0.001,0.514,0.003,1.019,0.003,0.361,0,-0.001,0.002,0.001,0.036,-0.006,565.5
0.147,0.001,0.508,0.003,1.022,0.003,0.359,0,-0.001,0.002,0.001,0.035,-0.006,566
0.144,0.001,0.502,0.004,1.026,0.004,0.357,0,-0.001,0.002,0.001,0.034,-0.006,566.5
0.141,0.001,0.496,0.004,1.029,0.004,0.354,0,-0.001,0.002,0.001,0.033,-0.006,567
0.137,0.001,0.489,0.004,1.031,0.004,0.351,0,-0.001,0.002,0.001,0.031,-0.006,567.5
0.134,0.001,0.483,0.004,1.034,0.004,0.349,0,-0.001,0.002,0.001,0.03,-0.006,568
0.131,0.001,0.477,0.004,1.037,0.004,0.346,0,0,0.002,0.001,0.029,-0.006,568.5
0.128,0.001,0.471,0.004,1.039,0.004,0.344,0,0,0.002,0.001,0.028,-0.006,569
0.125,0.001,0.465,0.004,1.042,0.004,0.341,0,-0.001,0.001,0.001,0.027,-0.006,569.5
0.122,0.001,0.458,0.004,1.044,0.004,0.338,0,-0.001,0.001,0.001,0.026,-0.006,570
0.119,0.001,0.452,0.004,1.046,0.004,0.335,0,-0.001,0.001,0.001,0.025,-0.006,570.5
0.116,0.001,0.446,0.003,1.047,0.004,0.332,0,-0.001,0.001,0.001,0.024,-0.006,571
0.114,0.001,0.44,0.003,1.049,0.004,0.329,0,-0.001,0.001,0.001,0.023,-0.006,571.5
0.111,0.001,0.434,0.003,1.05,0.004,0.326,0,-0.001,0.001,0.001,0.022,-0.006,572
0.108,0.001,0.428,0.003,1.051,0.004,0.323,0,-0.001,0.001,0.002,0.021,-0.006,572.5
0.106,0.001,0.422,0.003,1.052,0.004,0.32,0,-0.001,0.001,0.002,0.021,-0.006,573
0.103,0.001,0.415,0.003,1.053,0.004,0.317,0,-0.001,0.001,0.002,0.02,-0.006,573.5
0.1,0.001,0.409,0.003,1.054,0.004,0.314,0,-0.001,0.001,0.001,0.019,-0.006,574
0.098,0.001,0.403,0.003,1.054,0.004,0.311,0,-0.001,0.001,0.001,0.018,-0.006,574.5
0.095,0,0.396,0.003,1.054,0.004,0.307,0,-0.001,0.001,0.001,0.017,-0.006,575
0.093,0,0.39,0.003,1.054,0.004,0.304,0,-0.001,0.001,0.001,0.017,-0.006,575.5
0.091,0,0.384,0.003,1.054,0.004,0.3,0,-0.001,0.001,0.001,0.016,-0.006,576
0.088,0.001,0.378,0.003,1.054,0.004,0.297,0,-0.001,0.001,0.001,0.015,-0.006,576.5
0.086,0.001,0.372,0.002,1.053,0.004,0.294,0,-0.001,0.001,0.001,0.015,-0.006,577
0.084,0.001,0.366,0.002,1.053,0.004,0.29,0,-0.001,0,0.001,0.014,-0.006,577.5
0.082,0.001,0.36,0.002,1.052,0.004,0.287,0,-0.001,0,0.002,0.013,-0.006,578
0.08,0,0.355,0.002,1.05,0.004,0.283,0,-0.001,0,0.001,0.013,-0.006,578.5
0.078,0,0.349,0.002,1.049,0.004,0.28,0,-0.001,0,0.001,0.012,-0.006,579
0.076,0,0.343,0.002,1.047,0.004,0.277,0,-0.001,0,0.001,0.012,-0.006,579.5
0.074,0,0.337,0.002,1.046,0.004,0.273,0,-0.001,0,0.001,0.011,-0.006,580
0.072,0,0.332,0.002,1.044,0.004,0.27,0,-0.001,0,0.001,0.011,-0.006,580.5
0.07,0,0.326,0.003,1.042,0.003,0.266,0,-0.001,0,0.001,0.01,-0.006,581
0.068,0,0.32,0.002,1.039,0.003,0.262,0,-0.001,0,0.001,0.009,-0.006,581.5
0.066,0,0.314,0.002,1.037,0.003,0.259,0,-0.001,0,0.001,0.009,-0.006,582
0.064,0,0.308,0.002,1.034,0.003,0.255,0,-0.001,0,0.001,0.008,-0.006,582.5
0.063,0,0.303,0.002,1.031,0.003,0.252,0,-0.001,0,0.001,0.008,-0.006,583
0.061,0,0.297,0.002,1.028,0.003,0.248,0,-0.001,0,0.001,0.008,-0.006,583.5
0.059,0,0.292,0.002,1.025,0.003,0.245,0,-0.001,0,0.001,0.007,-0.006,584
0.058,0,0.286,0.002,1.021,0.003,0.241,0,-0.001,0,0.001,0.007,-0.006,584.5
0.056,0,0.281,0.002,1.017,0.003,0.237,0,-0.001,0,0.001,0.006,-0.006,585
0.055,0,0.276,0.002,1.013,0.003,0.234,0,-0.001,0,0.001,0.006,-0.006,585.5
0.053,0,0.271,0.002,1.009,0.003,0.23,0,-0.001,0,0.001,0.006,-0.006,586
0.052,0,0.265,0.002,1.005,0.003,0.227,0,-0.001,0,0.001,0.005,-0.006,586.5
0.05,0,0.26,0.002,1,0.003,0.223,0,-0.001,0,0.001,0.005,-0.006,587
0.049,0,0.255,0.002,0.996,0.003,0.219,0,-0.001,0,0.001,0.005,-0.006,587.5
0.048,0,0.25,0.002,0.991,0.003,0.216,0,-0.001,0,0.001,0.004,-0.006,588
0.046,0,0.245,0.002,0.986,0.003,0.212,0,-0.001,0,0.001,0.004,-0.006,588.5
0.045,0,0.24,0.002,0.981,0.003,0.209,0,-0.001,0,0.001,0.004,-0.006,589
0.044,0,0.235,0.002,0.975,0.003,0.205,0,-0.001,0,0.001,0.003,-0.006,589.5
0.042,0,0.23,0.002,0.97,0.003,0.202,0,-0.001,0,0.001,0.003,-0.006,590
0.041,0,0.226,0.002,0.964,0.003,0.198,0,-0.001,0,0.001,0.003,-0.006,590.5
0.04,0,0.221,0.002,0.958,0.003,0.195,0,-0.001,0,0.001,0.002,-0.006,591
0.039,0,0.216,0.002,0.952,0.003,0.191,0,-0.001,0,0.001,0.002,-0.006,591.5
0.038,0,0.212,0.002,0.945,0.003,0.188,0,-0.001,0,0.001,0.002,-0.006,592
0.037,0,0.207,0.002,0.939,0.003,0.184,0,-0.001,0,0.001,0.002,-0.006,592.5
0.036,0,0.203,0.002,0.933,0.003,0.181,0,-0.001,0,0.001,0.002,-0.006,593
0.035,-0.001,0.199,0.002,0.926,0.003,0.177,0,-0.001,0,0.001,0.001,-0.006,593.5
0.034,-0.001,0.194,0.002,0.919,0.003,0.174,0,-0.001,0,0.001,0.001,-0.006,594
0.033,-0.001,0.19,0.002,0.912,0.003,0.171,0,-0.001,0,0.001,0.001,-0.006,594.5
0.032,-0.001,0.186,0.002,0.905,0.003,0.168,0,-0.001,0,0.001,0.001,-0.006,595
0.031,-0.001,0.182,0.002,0.898,0.003,0.164,0,-0.001,0,0.001,0,-0.006,595.5
0.03,-0.001,0.178,0.002,0.89,0.003,0.161,0,-0.001,0,0.001,0,-0.006,596
0.029,-0.001,0.174,0.002,0.883,0.003,0.158,0,-0.001,0,0.001,0,-0.006,596.5
0.028,-0.001,0.17,0.002,0.875,0.003,0.155,0,-0.001,0,0.001,0,-0.006,597
0.027,-0.001,0.166,0.002,0.867,0.003,0.151,0,-0.001,0,0.001,0,-0.006,597.5
0.027,-0.001,0.162,0.002,0.86,0.003,0.148,0,-0.001,0,0.001,-0.001,-0.006,598
0.026,-0.001,0.158,0.002,0.852,0.003,0.145,0,-0.001,0,0.001,-0.001,-0.006,598.5
0.025,-0.001,0.155,0.002,0.843,0.003,0.142,0,-0.001,0,0.001,-0.001,-0.006,599
0.024,-0.001,0.151,0.001,0.835,0.003,0.139,0,-0.001,0,0.001,-0.001,-0.006,599.5
0.024,-0.001,0.148,0.002,0.829,0.003,0.137,0,-0.001,0,0.001,-0.001,-0.006,600
